ID,Language,Category,Author,Title,Format,Primary_Source,Download_URL
1,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,Le Comte de Monte-Cristo (Tomes I-III),EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+Le+Comte+de+Monte-Cristo+(Tomes+I-III)
2,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,Les Trois Mousquetaires,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+Les+Trois+Mousquetaires
3,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,Vingt ans après,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+Vingt+ans+après
4,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,Le Vicomte de Bragelonne,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+Le+Vicomte+de+Bragelonne
5,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,La Reine Margot,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+La+Reine+Margot
6,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,La Dame de Monsoreau,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+La+Dame+de+Monsoreau
7,French,"Adventure, Mystery & Sci-Fi",Alexandre Dumas,Le Collier de la reine,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Alexandre+Dumas+Le+Collier+de+la+reine
8,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,"Arsène Lupin, gentleman-cambrioleur",EPUB / MOBI,Ebooksgratuits / NosLivres,"https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+Arsène+Lupin,+gentleman-cambrioleur"
9,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,Arsène Lupin contre Herlock Sholmes,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+Arsène+Lupin+contre+Herlock+Sholmes
10,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,L'Aiguille creuse,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+L'Aiguille+creuse
11,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,813,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+813
12,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,Le Bouchon de cristal,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+Le+Bouchon+de+cristal
13,French,"Adventure, Mystery & Sci-Fi",Maurice Leblanc,La Comtesse de Cagliostro,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Maurice+Leblanc+La+Comtesse+de+Cagliostro
14,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Vingt Mille Lieues sous les mers,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Vingt+Mille+Lieues+sous+les+mers
15,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Le Tour du monde en quatre-vingts jours,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Le+Tour+du+monde+en+quatre-vingts+jours
16,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Voyage au centre de la Terre,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Voyage+au+centre+de+la+Terre
17,French,"Adventure, Mystery & Sci-Fi",Jules Verne,L'Île mystérieuse,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+L'Île+mystérieuse
18,French,"Adventure, Mystery & Sci-Fi",Jules Verne,De la Terre à la Lune,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+De+la+Terre+à+la+Lune
19,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Autour de la Lune,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Autour+de+la+Lune
20,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Michel Strogoff,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Michel+Strogoff
21,French,"Adventure, Mystery & Sci-Fi",Jules Verne,Les Enfants du capitaine Grant,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Jules+Verne+Les+Enfants+du+capitaine+Grant
22,French,"Adventure, Mystery & Sci-Fi",Gaston Leroux,Le Fantôme de l'Opéra,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gaston+Leroux+Le+Fantôme+de+l'Opéra
23,French,"Adventure, Mystery & Sci-Fi",Gaston Leroux,Le Mystère de la chambre jaune,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gaston+Leroux+Le+Mystère+de+la+chambre+jaune
24,French,"Adventure, Mystery & Sci-Fi",Gaston Leroux,Le Parfum de la dame en noir,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gaston+Leroux+Le+Parfum+de+la+dame+en+noir
25,French,"Adventure, Mystery & Sci-Fi",Gaston Leroux,Chéri-Bibi,EPUB / MOBI,Ebooksgratuits / NosLivres,https://www.noslivres.net/recherche.php?q=Gaston+Leroux+Chéri-Bibi
